customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_contract,account_paperlessbilling,account_paymentmethod,total_day,account_charges_monthly,account_charges_total
0002-orfbo,False,female,0,True,True,9,True,no,dsl,no,yes,no,yes,yes,no,one year,True,mailed check,2.2,65.6,593.3
0003-mknfe,False,male,0,False,False,9,True,yes,dsl,no,no,no,no,no,yes,month-to-month,False,mailed check,2.01,59.9,542.4
0004-tlhlj,True,male,0,False,False,4,True,no,fiber optic,no,no,yes,no,no,no,month-to-month,True,electronic check,2.34,73.9,280.85
0011-igkff,True,male,1,True,False,13,True,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,True,electronic check,3.17,98.0,1237.85
0013-exchz,True,female,1,True,False,3,True,no,fiber optic,no,no,no,yes,yes,no,month-to-month,True,mailed check,2.97,83.9,267.4
0013-mhzwf,False,female,0,False,True,9,True,no,dsl,no,no,no,yes,yes,yes,month-to-month,True,credit card (automatic),2.12,69.4,571.45
0013-smeoe,False,female,1,True,False,71,True,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,True,bank transfer (automatic),3.71,109.7,7904.25
0014-bmaqu,False,male,0,True,False,63,True,yes,fiber optic,yes,no,no,yes,no,no,two year,True,credit card (automatic),2.85,84.65,5377.8
0015-uocoj,False,female,1,False,False,7,True,no,dsl,yes,no,no,no,no,no,month-to-month,True,electronic check,1.62,48.2,340.35
0016-qljis,False,female,0,True,True,65,True,yes,dsl,yes,yes,yes,yes,yes,yes,two year,True,mailed check,3.06,90.45,5957.9
0017-dinoc,False,male,0,False,False,54,False,no phone service,dsl,yes,no,no,yes,yes,no,two year,False,credit card (automatic),1.52,45.2,2460.55
0017-iudmw,False,female,0,True,True,72,True,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,True,credit card (automatic),3.92,116.8,8456.75
0018-nyrou,False,female,0,True,False,5,True,no,fiber optic,no,no,no,no,no,no,month-to-month,True,electronic check,2.34,68.95,351.5
0019-efaep,False,female,0,False,False,72,True,yes,fiber optic,yes,yes,yes,no,yes,no,two year,True,bank transfer (automatic),3.36,101.3,7261.25
0019-gfntw,False,female,0,False,False,56,False,no phone service,dsl,yes,yes,yes,yes,no,no,two year,False,bank transfer (automatic),1.52,45.05,2560.1
0020-inwck,False,female,0,True,True,71,True,yes,fiber optic,no,yes,yes,no,no,yes,two year,True,credit card (automatic),3.22,95.75,6849.4
0020-jdnxp,False,female,0,True,True,34,False,no phone service,dsl,yes,no,yes,yes,yes,yes,one year,False,mailed check,1.95,61.25,1993.2
